stage1,songname,SP,PT,Hid,SP,PT,Hid,SP,PT,Hid,SP,PT,Hid
175,step,2,1,0,,,,,,,,,
164,prettygirl,2,1,0,,,,,,,,,
1,@gobaek1,1,1,0,,,,,,,,,
56,@baramege,1,1,0,,,,,,,,,
59,brandnewdays,1,1,0,,,,,,,,,
61,eternalmemory,1,1,0,,,,,,,,,
155,tdot,2,1,0,,,,,,,,,
35,lovemode,1,1,0,,,,,,,,,
130,raisemeup,1,1,0,,,,,,,,,
117,season,1,1,0,,,,,,,,,
94,@youngwon,1,1,0,,,,,,,,,
6,access,1,1,0,,,,,,,,,
10,closer,1,1,0,,,,,,,,,
69,cosmicfantastic,1,1,0,,,,,,,,,
15,dearmylady,1,1,0,,,,,,,,,
20,fate,1,1,0,,,,,,,,,
22,firstkiss,1,1,0,,,,,,,,,
28,honeymoon,1,1,0,,,,,,,,,
30,inmyheart,1,1,0,,,,,,,,,
33,ladymade,1,1,0,,,,,,,,,
139,newday,1,1,0,,,,,,,,,
40,oblivion,1,1,0,,,,,,,,,
3,@naege,1,1,0,,,,,,,,,
7,area7,1,1,0,,,,,,,,,
19,enemystorm,1,1,0,,,,,,,,,
76,putemup,2,1,0,,,,,,,,,
70,puzzler,2,1,0,,,,,,,,,
58,someday,1,1,0,,,,,,,,,
74,sweetdream,1,1,0,,,,,,,,,
136,seolaim2,1,1,0,,,,,,,,,
149,dreamagain,1,1,0,,,,,,,,,
96,getdown,2,1,0,,,,,,,,,
148,myheart,2,1,0,,,,,,,,,
50,theclear,1,1,0,,,,,,,,,
55,yourown,1,1,0,,,,,,,,,
154,youshould,2,1,0,,,,,,,,,
107,djmax,1,1,1,,,,,,,,,
92,thenightstage,1,1,1,,,,,,,,,
57,@baramegelive,1,1,1,,,,,,,,,
111,luvflowrmx1,1,1,1,,,,,,,,,
93,beyondthe,1,1,1,,,,,,,,,
83,burnitdown,2,1,1,,,,,,,,,
95,darkenvy,2,1,1,,,,,,,,,
113,masairmx1,2,1,1,,,,,,,,,
68,outlawreborn,2,1,1,,,,,,,,,
115,zetrmx1,2,1,1,,,,,,,,,
2,@gobaek2,2,1,1,,,,,,,,,
85,airwave,2,1,1,,,,,,,,,
104,beatudown,2,1,1,,,,,,,,,
72,d2,2,1,1,,,,,,,,,
114,desperadormx1,2,1,1,,,,,,,,,
89,dreamofwinds,2,1,1,,,,,,,,,
112,enemyrmx1,2,1,1,,,,,,,,,
27,hexad,2,1,1,,,,,,,,,
